Country;Total Cases;Total Deaths;Total Recovered;Active Cases;Mortality Recovery
UK;9524971;142835;7792578;1589558;0.018329621
Russia;9070674;255386;7784585;1030703;0.03280663
France;7275149;118137;7007731;149281;0.016858096
Spain;5047156;87673;4889801;69682;0.017929769
Germany;5014501;98164;4477900;438437;0.021921883
Italy;4852496;132739;4604645;115112;0.028827195
Ukraine;3217639;76705;2631240;509694;0.029151655
Poland;3204515;78867;2802616;323032;0.028140494
Netherlands;2283083;18728;2017900;246455;0.009280936
Czechia;1890405;31481;1716716;142208;0.01833792
Romania;1742304;53069;1578707;110528;0.033615484
Belgium;1484712;26321;1242741;215650;0.021179795
Serbia;1208386;10781;1101235;96370;0.009789918
Sweden;1182471;15051;1146876;20544;0.013123476
Portugal;1106005;18242;1050838;36925;0.017359479
Austria;959652;11706;836053;111893;0.014001505
Hungary;939784;31867;818336;89581;0.038941217
Switzerland;909034;11341;841810;55883;0.013472161
Greece;828032;16686;731135;80211;0.022822051
Bulgaria;654819;26191;514788;113840;0.050877254
Belarus;627478;4848;607623;15007;0.007978631
Slovakia;560100;13537;470288;76275;0.02878449
Croatia;538752;9881;490240;38631;0.020155434
Ireland;494643;5566;405598;83479;0.013722947
Lithuania;443228;6317;400067;36844;0.015789855
Denmark;420099;2760;384095;33244;0.007185722
Slovenia;378142;4940;330923;42279;0.014927944
Moldova;352670;8446;332073;12151;0.025434167
Bosnia and Herzegovina;263587;11962;192218;59407;0.062231425
Latvia;240340;3762;215889;20689;0.017425621
Norway;227370;950000;88952;137468;10.67991726
Estonia;212096;1673;184187;26236;0.00908316
North Macedonia;208992;7320;193072;8600;0.037913317
Albania;192600;2986;181213;8401;0.016477847
Finland;167119;1216;46000;119903;0.026434783
Montenegro;151730;2200;144099;5431;0.015267282
Luxembourg;84248;855000;80572;2821;10.61162687
Malta;38168;462000;36761;945;12.56766682
Andorra;15819;130000;15443;246;8.418053487
Iceland;15321;34000;13702;1585;2.481389578
Channel Islands;14519;100000;13250;1169;7.547169811
Isle of Man;10225;64000;9837;324;6.506048592
Gibraltar;6464;98000;5915;451;16.56804734
San Marino;5598;92000;5439;67;16.91487406
Liechtenstein;3798;61000;3568;169;17.09641256
Monaco;3478;36000;3388;54;10.6257379
Faeroe Islands;2903;8000;2365;530;3.382663848
